Name,Pronouns,UFL Email,Phone,Socials,Year,Major,Other Orgs,"Role (0=Big,1=Little)",Preferred Littles,Preferred Bigs,Pairing Requests (Optional),"On/Off Campus (0=On,1=Off)","Has Car (0=No,1=Yes)",Ideal Big/Little,Looking For ACE,Free Time,Hobbies,Favorite Artists/Songs,Icks,Talk for Hours About,Self Description,Best Joke,Favorite Food,"EarlyBird/NightOwl (0=Early,1=Night)",Extroversion (1-5),Good Advice (1-5),Plans Style (1-5),Study Frequency (1-5),Gym Frequency (1-5),Spending Habits (1-5),Friday Night,Additional Info (Optional)
Jay Williams,he/him,kim420@ufl.edu,666.272.7060x518,@natalie22,0,Biology,AAA,1,,1.0,Prefer someone from AAA,0,1,Chill and introverted,Guide underclassmen,movies,reading,NewJeans - Pop,Being late,sports,Although practice wife charge believe store light trouble black maintain.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,0,4,3,2,5,2,2,studying at Marston,
Tammy Farmer,they/them,jason526@ufl.edu,299.480.9837,@robert43,0,Computer Science,HSA,1,,1.0,,1,0,Fun and outgoing,Guide underclassmen,movies,"gym, music, cooking",Joji - Hip-hop,Talking over others,AI & tech,Green speech in throughout dinner street buy.,Why don’t skeletons fight each other? They don’t have the guts.,Mexican,0,3,3,3,2,2,5,movie night,
Monica Cannon,he/him,shawn556@ufl.edu,+1-876-999-4781,@katherine58,0,Biology,FSA,1,,3.0,Prefer someone also into K-pop,0,0,Shares similar hobbies,Network and make friends,traveling,"cooking, photography, movies",Joji - K-pop,Talking over others,movies & TV shows,Study positive remain town us natural both pass able ready from activity whole.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,4,2,3,3,1,4,studying at Marston,
Thomas Torres,he/him,sarah731@ufl.edu,(320)519-9299x8413,@sheila61,0,Data Science,FSA,1,,1.0,,0,1,Fun and outgoing,Find a mentor,gaming,"movies, traveling, photography",Joji - R&B,Bad hygiene,sports,Hope radio now address system raise above administration draw.,I only know 25 letters of the alphabet. I don’t know y.,Asian,1,3,2,1,5,2,5,sleeping early,I love hanging out at Plaza of Americas
Peter Walters,she/her,brenda41@ufl.edu,5576796418,@jordan95,0,Finance,CSA,1,,4.0,Prefer someone same major,1,0,Chill and introverted,Meet new people,music,"cooking, movies, photography",Taylor Swift - Indie,Chewing loudly,k-pop gossip,Who special be degree recognize rather recently kid hold more.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,2,2,1,4,1,2,sleeping early,I love hanging out at Plaza of Americas
Stephanie Garrett,he/him,rebecca924@ufl.edu,708.347.1855x4562,@shannon45,0,Mechanical Engineering,AAA,1,,3.0,Prefer someone from AAA,1,0,Shares similar hobbies,Guide underclassmen,gym,"gaming, traveling, music",NewJeans - K-pop,Bad hygiene,gaming strategies,Reflect eight commercial former yeah edge paper door several join wife teach contain remain late.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,1,2,4,2,4,5,5,studying at Marston,I love hanging out at Plaza of Americas
Matthew Gomez,she/her,sheri149@ufl.edu,190-919-0911x936,@stacey30,0,Marketing,None,1,,4.0,,0,0,Supportive and caring,Find a mentor,reading,"music, movies, cooking",The Weeknd - Indie,Bad hygiene,movies & TV shows,Public education family argue evidence effort attention.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,3,2,3,2,1,3,sleeping early,
Mr. Geoffrey Black,he/him,stephen763@ufl.edu,(702)857-9793,@mark94,0,Mechanical Engineering,FSA,1,,4.0,Prefer someone same major,1,0,Shares similar hobbies,Network and make friends,reading,"traveling, gaming, photography",The Weeknd - Hip-hop,Talking over others,sports,Still for task pass detail character section serious form beat pattern.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,1,2,2,3,5,1,4,gaming all night,I love hanging out at Plaza of Americas
Melissa Mathews,he/him,meagan289@ufl.edu,001-838-902-6496x44366,@sandra80,0,Mechanical Engineering,None,1,,4.0,Prefer someone also into K-pop,1,1,Fun and outgoing,Meet new people,gaming,"photography, reading",Taylor Swift - Hip-hop,Chewing loudly,movies & TV shows,Although foreign TV mean hot design behind here party development indeed crime.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,0,2,4,1,5,4,2,gaming all night,
Brian Delgado,he/him,walter118@ufl.edu,+1-953-716-6277x637,@russell31,0,Marketing,None,1,,3.0,,1,0,Chill and introverted,Guide underclassmen,movies,"music, painting",NewJeans - Lo-fi,Overusing emojis,k-pop gossip,Benefit near be both and article seat it certainly will nothing safe alone over.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,3,3,2,3,4,1,dinner with friends,
Elizabeth Wong,she/her,gary470@ufl.edu,622.746.5800x5092,@james20,0,Finance,CSA,1,,2.0,Prefer someone also into K-pop,1,1,Fun and outgoing,Guide underclassmen,music,painting,The Weeknd - Pop,Talking over others,k-pop gossip,From particularly church prepare bar live movie buy night develop picture.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,4,3,2,5,1,3,movie night,
Renee Martin,she/her,stephanie38@ufl.edu,+1-706-954-4646x8917,@william24,0,Marketing,None,1,,4.0,Prefer someone same major,1,1,Fun and outgoing,Guide underclassmen,photography,"movies, reading, gym",Post Malone - Indie,Chewing loudly,fashion trends,Ground case little top Democrat little opportunity support year war shake end.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,4,2,2,2,2,4,dinner with friends,
Brenda Boyd,he/him,lisa709@ufl.edu,947-969-7826x51929,@christopher98,0,Computer Science,FSA,1,,1.0,Prefer someone also into K-pop,0,1,Supportive and caring,Find a mentor,painting,"gym, gaming",The Weeknd - Lo-fi,Bad hygiene,AI & tech,Herself hit goal school list can person upon bar top light culture drop everybody.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,2,4,3,4,2,4,dinner with friends,
Leon Gonzalez,he/him,elizabeth182@ufl.edu,514.790.8239x7832,@johnny44,0,Mechanical Engineering,None,1,,3.0,Prefer someone same major,0,0,Shares similar hobbies,Network and make friends,gaming,"traveling, reading",SZA - Indie,Bad hygiene,sports,Write force order management what fall other will mission next the fund history show.,What do you call fake spaghetti? An impasta!,American,0,3,2,1,2,4,4,gaming all night,I love hanging out at Plaza of Americas
Scott Snyder,they/them,jason364@ufl.edu,+1-568-812-9537x97310,@william70,0,Computer Science,VSO,1,,3.0,,0,1,Shares similar hobbies,Find a mentor,photography,"cooking, traveling, gaming",Drake - Hip-hop,Bad hygiene,movies & TV shows,Story behavior author newspaper off market institution two spend career ago rate stuff area.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,2,4,2,2,2,5,studying at Marston,I love hanging out at Plaza of Americas
Sonya Roy,she/her,javier611@ufl.edu,+1-407-535-2426x780,@april89,0,Marketing,AAA,1,,1.0,Prefer someone from AAA,1,0,Fun and outgoing,Meet new people,reading,"movies, painting, music",The Weeknd - R&B,Chewing loudly,sports,Career expect discussion southern wonder something director pick hit.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,3,3,3,4,5,2,going out,
Chad Miller,she/her,cynthia626@ufl.edu,874.477.5887x39455,@amber94,0,Marketing,CSA,1,,2.0,Prefer someone from AAA,0,1,Fun and outgoing,Meet new people,traveling,movies,The Weeknd - K-pop,Being late,movies & TV shows,Board someone end answer season last stand painting under sit.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,4,2,3,4,2,4,going out,
Julia Lopez,they/them,ronnie368@ufl.edu,(096)464-9625,@kathy69,0,Finance,FSA,1,,1.0,Prefer someone also into K-pop,0,1,Fun and outgoing,Network and make friends,reading,movies,Post Malone - Lo-fi,Talking over others,k-pop gossip,Other kid consider medical trade finish hundred.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,3,4,1,5,2,1,movie night,
Jennifer Gill,he/him,brenda56@ufl.edu,725-899-2349,@madison30,0,Data Science,None,1,,1.0,Prefer someone from AAA,0,1,Supportive and caring,Find a mentor,music,"traveling, movies, photography",SZA - Hip-hop,Bad hygiene,gaming strategies,Dinner visit heart keep himself make rock enough assume accept decision senior space color mention concern.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,3,4,3,4,1,2,going out,
James Martin,he/him,linda683@ufl.edu,001-564-487-8905x126,@lisa42,0,Biology,FSA,1,,1.0,,1,0,Shares similar hobbies,Guide underclassmen,gaming,"gym, photography",SZA - K-pop,Overusing emojis,k-pop gossip,Science economic first market floor see sort system simply sister although.,What do you call fake spaghetti? An impasta!,Mexican,0,2,2,3,3,5,5,going out,I love hanging out at Plaza of Americas
Patricia Williams,he/him,alexis780@ufl.edu,+1-697-610-4009,@randall70,0,Biology,CSA,1,,5.0,Prefer someone same major,0,1,Shares similar hobbies,Meet new people,gaming,"painting, movies, gaming",Taylor Swift - K-pop,Overusing emojis,movies & TV shows,Campaign issue whose student technology three direction.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,1,3,3,3,5,4,5,dinner with friends,Looking for study buddies
Beverly Ramos,he/him,megan566@ufl.edu,(218)810-8372x1401,@patricia17,0,Mechanical Engineering,VSO,1,,3.0,,1,1,Shares similar hobbies,Find a mentor,painting,"gaming, movies",SZA - K-pop,Chewing loudly,AI & tech,Most law sister tell condition maintain way film outside win share method hear around war although.,What do you call fake spaghetti? An impasta!,Asian,0,3,2,1,5,1,4,sleeping early,
Anna Fischer,she/her,lisa88@ufl.edu,001-213-304-2992x841,@jennifer60,0,Mechanical Engineering,HSA,1,,2.0,,0,1,Fun and outgoing,Meet new people,gym,"movies, cooking, gym",Drake - Lo-fi,Talking over others,fashion trends,Industry visit each game glass off also stay international model worker model important wind home early.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,4,3,3,5,1,1,studying at Marston,Looking for study buddies
Douglas Miller,she/her,angela943@ufl.edu,249.765.2604,@erica73,0,Data Science,HSA,1,,1.0,Prefer someone same major,1,1,Shares similar hobbies,Network and make friends,cooking,"cooking, music, painting",NewJeans - R&B,Overusing emojis,k-pop gossip,Heart contain travel card author unit allow him employee recently along statement take range.,What do you call fake spaghetti? An impasta!,Asian,0,4,3,2,5,2,2,sleeping early,
Daniel Jordan,she/her,maureen993@ufl.edu,(832)421-6050,@douglas36,0,Data Science,CSA,1,,5.0,Prefer someone from AAA,1,1,Chill and introverted,Guide underclassmen,photography,"movies, traveling",Drake - Rock,Bad hygiene,k-pop gossip,Daughter box identify whatever red theory surface throw blood cover imagine activity.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,0,3,2,2,5,4,2,going out,
April Holder,he/him,timothy291@ufl.edu,(175)027-9997x905,@adrian15,0,Data Science,VSO,1,,1.0,Prefer someone same major,0,1,Chill and introverted,Find a mentor,photography,gym,Taylor Swift - EDM,Being late,movies & TV shows,Military glass memory anything its similar policy wall class black other quality radio.,I only know 25 letters of the alphabet. I don’t know y.,American,0,4,2,1,5,1,4,movie night,Looking for study buddies
Robert Rogers,they/them,melissa18@ufl.edu,8619495979,@robert63,0,Marketing,FSA,1,,1.0,,0,1,Supportive and caring,Find a mentor,photography,"gym, cooking, music",Taylor Swift - K-pop,Overusing emojis,k-pop gossip,Enjoy water source collection arm woman very finally series read will.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,0,4,4,2,4,1,5,gaming all night,
Barbara King,she/her,michele365@ufl.edu,001-352-614-0510x1983,@joseph93,0,Biology,VSO,1,,2.0,,0,1,Shares similar hobbies,Find a mentor,music,reading,Joji - EDM,Overusing emojis,AI & tech,Maintain per hotel white section onto at.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,1,4,4,3,4,1,1,gaming all night,Looking for study buddies
Tiffany Thomas,they/them,jonathan895@ufl.edu,709-035-8392x9916,@lauren37,0,Computer Science,VSO,1,,4.0,Prefer someone same major,0,1,Shares similar hobbies,Guide underclassmen,traveling,photography,The Weeknd - Rock,Bad hygiene,AI & tech,Remember others present live air grow road performance always article line.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,1,4,2,3,2,4,5,movie night,Looking for study buddies
Teresa Howard,she/her,julia49@ufl.edu,772.951.1878x442,@jordan51,0,Mechanical Engineering,CSA,1,,2.0,Prefer someone same major,0,1,Chill and introverted,Meet new people,movies,"movies, gym, music",NewJeans - Rock,Bad hygiene,AI & tech,Home suffer red recent sure low power cold probably company church eight test new away.,I only know 25 letters of the alphabet. I don’t know y.,American,1,2,2,2,2,4,4,gaming all night,Looking for study buddies
Jessica Small,she/her,stacy836@ufl.edu,3432197465,@samantha85,0,Finance,HSA,1,,2.0,Prefer someone also into K-pop,1,0,Supportive and caring,Find a mentor,traveling,"painting, traveling",Taylor Swift - EDM,Overusing emojis,gaming strategies,Piece power special right test southern unit test dream surface.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,0,3,3,3,4,1,2,going out,
Ryan Shea,they/them,thomas104@ufl.edu,575.265.3550x3670,@tiffany68,0,Biology,VSO,1,,2.0,Prefer someone same major,1,1,Shares similar hobbies,Guide underclassmen,reading,music,Taylor Swift - Hip-hop,Overusing emojis,AI & tech,Individual decision as begin someone suffer follow answer unit act network enough argue fill.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,0,2,4,1,4,1,4,gaming all night,
Lindsay Simmons,they/them,daniel199@ufl.edu,448.160.4638x1036,@javier66,0,Mechanical Engineering,None,1,,2.0,,1,1,Supportive and caring,Guide underclassmen,gym,"gym, painting",Post Malone - Lo-fi,Overusing emojis,k-pop gossip,Player change list go option maybe produce next ground gun mention like everyone must.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,1,4,3,1,5,4,1,dinner with friends,
Kevin Aguirre,she/her,nicole143@ufl.edu,525-594-2770,@carolyn43,0,Computer Science,AAA,1,,1.0,,0,0,Shares similar hobbies,Guide underclassmen,reading,"reading, photography, music",Joji - Pop,Talking over others,gaming strategies,Above carry study sure wind power professional itself policy.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,0,2,3,2,2,4,4,going out,
Daniel Garcia,he/him,jennifer628@ufl.edu,+1-910-696-9223x4487,@terri63,0,Marketing,FSA,1,,5.0,,1,1,Fun and outgoing,Meet new people,photography,reading,The Weeknd - Rock,Overusing emojis,fashion trends,Else fire memory thought person anyone nation during.,What do you call fake spaghetti? An impasta!,I would literally eat anything,1,4,3,3,2,5,3,dinner with friends,
Jacob Ferguson,they/them,linda190@ufl.edu,612.139.3577x92242,@sharon62,0,Biology,None,1,,2.0,Prefer someone from AAA,0,0,Supportive and caring,Network and make friends,photography,traveling,NewJeans - Lo-fi,Chewing loudly,AI & tech,Action product skill as foreign increase fear once yes air middle manager wrong nice strategy.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,0,4,3,2,3,1,5,movie night,
Daniel Bowers,they/them,john362@ufl.edu,+1-635-980-6179x5505,@kelly19,0,Computer Science,VSO,1,,1.0,Prefer someone same major,1,1,Fun and outgoing,Guide underclassmen,movies,"gaming, movies",Post Malone - EDM,Bad hygiene,fashion trends,Role probably free structure where believe single tree your with friend central weight would or partner.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,4,3,3,5,3,3,gaming all night,
Carrie Richardson,they/them,jeffery91@ufl.edu,+1-121-829-8467x324,@sean10,0,Mechanical Engineering,HSA,1,,5.0,,1,1,Chill and introverted,Guide underclassmen,painting,gym,Drake - R&B,Bad hygiene,AI & tech,Husband political mind floor class month indicate.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,0,2,3,1,4,2,2,movie night,Looking for study buddies
Cody Holmes,he/him,tyler422@ufl.edu,001-703-355-5492x08121,@shelby45,0,Finance,VSO,1,,4.0,Prefer someone same major,0,0,Shares similar hobbies,Meet new people,movies,gym,NewJeans - Rock,Being late,k-pop gossip,Report number party design kitchen many he performance oil party certain indeed bill learn.,I only know 25 letters of the alphabet. I don’t know y.,American,1,4,4,1,4,3,3,going out,
Dawn Rojas,he/him,kristin213@ufl.edu,(515)407-0634x6712,@edward44,0,Mechanical Engineering,HSA,1,,1.0,,1,0,Chill and introverted,Guide underclassmen,traveling,music,The Weeknd - EDM,Bad hygiene,sports,Either meet wear should production look film now event laugh office manager.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,0,2,3,1,2,4,5,studying at Marston,
Alyssa Parsons,he/him,randy792@ufl.edu,+1-914-182-6619x303,@kaitlyn30,0,Mechanical Engineering,VSO,1,,2.0,Prefer someone same major,1,1,Fun and outgoing,Guide underclassmen,cooking,"traveling, painting, photography",Drake - Pop,Bad hygiene,movies & TV shows,Simple believe agreement fine health morning life energy.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,1,2,2,2,4,5,5,sleeping early,
Lauren Hurley,they/them,stephanie676@ufl.edu,(504)539-1649x4343,@misty30,0,Data Science,FSA,1,,4.0,Prefer someone also into K-pop,1,0,Chill and introverted,Meet new people,traveling,gym,The Weeknd - Rock,Overusing emojis,AI & tech,Study thought I heavy set these without recent reality value article maybe.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,1,3,4,1,2,5,4,going out,
